Id,Year,Ndomains,Complexity,Rating,D_Wargames,D_Family Games,D_Strategy Games,D_Thematic Games,D_Abstract Games,D_Childrens Games,D_Party Games,D_Customizable Games
24480,2006,1,2.82,7.29,0,0,1,0,0,0,0,0
204305,2016,1,2.16,7.78,0,0,0,1,0,0,0,0
172,1997,1,1.26,7.22,0,1,0,0,0,0,0,0
144592,2013,1,3.59,7.65,0,0,1,0,0,0,0,0
9217,2004,1,2.47,7.3,0,0,1,0,0,0,0,0
36932,2009,1,2.48,7.52,0,0,0,1,0,0,0,0
90137,2011,1,2.33,7.38,0,0,0,1,0,0,0,0
40765,2012,1,3.59,7.62,0,0,1,0,0,0,0,0
256226,2018,2,1.98,7.42,0,1,0,0,1,0,0,0
184921,2017,1,2.27,7.46,0,1,0,0,0,0,0,0
197376,2017,1,2.82,7.38,0,0,1,0,0,0,0,0
21348,2006,2,2.24,7.41,0,1,1,0,0,0,0,0
121,1979,2,3.44,7.62,0,0,1,1,0,0,0,0
70323,2011,1,1.49,7.18,0,1,0,0,0,0,0,0
71,1980,1,3.66,7.5,0,0,1,0,0,0,0,0
257499,2018,1,3.27,7.78,0,0,0,1,0,0,0,0
54625,2009,1,2.78,7.53,0,0,0,1,0,0,0,0
250458,2018,1,3.06,7.53,0,0,1,0,0,0,0,0
186751,2017,1,3.01,8.46,0,0,1,0,0,0,0,0
154809,2015,1,3.79,7.69,0,0,1,0,0,0,0,0
265736,2019,1,2.08,7.36,0,1,0,0,0,0,0,0
166669,2014,1,2.07,7.52,0,0,1,0,0,0,0,0
246192,2018,2,2.02,7.45,0,1,1,0,0,0,0,0
198773,2016,1,1.27,7.26,0,0,0,0,0,0,1,0
50,1999,1,1.5,7.18,0,1,0,0,0,0,0,0
283155,2020,2,2.19,8.0,0,1,0,0,1,0,0,0
124708,2012,1,2.71,7.3,0,0,0,1,0,0,0,0
170771,2017,1,4.03,8.04,0,0,0,1,0,0,0,0
235802,2018,2,4.05,8.78,0,0,1,1,0,0,0,0
314040,2020,2,3.13,8.8,0,0,1,1,0,0,0,0
63628,2012,1,2.96,7.36,0,0,1,0,0,0,0,0
55670,2009,1,3.14,7.42,0,0,1,0,0,0,0,0
66188,2010,2,2.64,7.29,0,1,1,0,0,0,0,0
15985,2004,1,3.17,7.85,0,0,0,1,0,0,0,0
15987,2005,1,3.58,7.26,0,0,0,1,0,0,0,0
63888,2010,1,2.74,7.25,0,0,1,0,0,0,0,0
195539,2017,2,2.6,7.55,0,0,1,1,0,0,0,0
194594,2017,1,1.97,7.29,0,1,0,0,0,0,0,0
40354,2009,1,3.51,7.97,1,0,0,0,0,0,0,0
236191,2017,1,2.69,7.61,0,0,1,0,0,0,0,0
229220,2017,1,3.06,7.55,0,0,1,0,0,0,0,0
79828,2011,2,3.04,7.4,1,0,1,0,0,0,0,0
161614,2015,1,2.11,7.52,0,0,1,0,0,0,0,0
155987,2014,1,2.32,7.33,0,0,1,0,0,0,0,0
156546,2015,1,1.06,7.79,0,0,0,0,0,0,1,0
138161,2013,1,2.96,7.39,0,0,0,1,0,0,0,0
100901,2011,2,2.21,7.2,0,1,0,1,0,0,0,0
215341,2018,1,2.8,7.91,0,0,1,0,0,0,0,0
96913,2011,1,2.99,7.42,0,0,1,0,0,0,0,0
66362,2010,1,2.67,7.32,0,0,1,0,0,0,0,0
244711,2018,1,3.4,7.62,0,0,1,0,0,0,0,0
176396,2016,1,2.21,7.29,0,1,0,0,0,0,0,0
105134,2011,1,2.59,7.42,0,0,1,0,0,0,0,0
11170,2004,2,2.29,7.44,0,0,0,1,0,0,0,1
260428,2018,1,2.45,7.71,0,0,1,0,0,0,0,0
151347,2016,1,3.68,7.72,0,0,0,1,0,0,0,0
27162,2007,2,2.43,7.19,0,1,1,0,0,0,0,0
111341,2012,1,3.71,7.79,0,0,1,0,0,0,0,0
245934,2018,1,2.52,7.58,0,0,1,0,0,0,0,0
215311,2017,1,1.74,7.36,0,1,0,0,0,0,0,0
230253,2018,1,1.88,8.02,0,0,1,0,0,0,0,0
150658,2014,2,2.06,7.3,0,1,1,0,0,0,0,0
25417,2006,2,2.76,7.36,1,0,0,1,0,0,0,0
137408,2013,1,2.99,7.47,0,0,1,0,0,0,0,0
47,1999,1,2.28,7.33,0,0,1,0,0,0,0,0
234277,2017,1,2.86,7.62,0,0,1,0,0,0,0,0
128671,2012,1,2.71,7.46,0,0,0,1,0,0,0,0
18833,2005,1,2.2,7.47,0,0,1,0,0,0,0,0
157969,2014,2,1.65,7.14,0,1,0,0,0,0,1,0
34219,2007,2,1.68,7.19,0,1,1,0,0,0,0,0
5404,2003,1,3.04,7.32,0,0,1,0,0,0,0,0
123123,2013,1,3.07,7.92,0,0,1,0,0,0,0,0
269210,2019,1,2.36,7.53,0,1,0,0,0,0,0,0
188866,2016,2,2.36,7.73,0,1,0,1,0,0,0,0
62222,2010,1,2.74,8.0,1,0,0,0,0,0,0,0
192153,2016,2,2.18,7.4,0,0,1,1,0,0,0,0
128996,2013,1,2.24,7.67,1,0,0,0,0,0,0,0
92415,2011,1,1.14,7.21,0,0,0,0,0,0,1,0
17226,2005,1,3.34,7.3,0,0,0,1,0,0,0,0
712,1994,2,2.98,7.54,0,0,1,1,0,0,0,0
146791,2014,1,3.34,7.97,0,0,0,1,0,0,0,0
136063,2013,1,2.05,7.14,0,1,0,0,0,0,0,0
177639,2015,1,2.06,7.33,0,0,1,0,0,0,0,0
274960,2019,1,1.15,7.33,0,1,0,0,0,0,0,0
83330,2011,1,3.24,7.29,0,0,0,1,0,0,0,0
95527,2013,1,4.29,7.62,0,0,1,0,0,0,0,0
62227,2010,2,3.63,7.59,1,0,1,0,0,0,0,0
194607,2016,1,2.25,7.3,0,0,1,0,0,0,0,0
150,1995,2,1.13,7.25,0,1,0,0,0,0,1,0
162082,2014,1,2.85,7.32,0,0,1,0,0,0,0,0
260605,2018,2,1.51,7.67,0,1,0,0,0,0,1,0
65781,2010,1,2.88,7.36,0,0,1,0,0,0,0,0
158899,2014,1,1.82,7.12,0,1,0,0,0,0,0,0
105551,2012,1,3.73,7.34,0,0,1,0,0,0,0,0
98778,2010,1,1.7,7.08,0,1,0,0,0,0,0,0
372,1999,1,1.74,7.31,0,1,0,0,0,0,0,0
13,1995,2,2.32,7.15,0,1,1,0,0,0,0,0
127398,2012,1,2.77,7.21,0,0,0,1,0,0,0,0
206941,2016,1,2.78,7.47,0,0,1,0,0,0,0,0
244271,2018,1,2.13,8.19,0,1,0,0,0,0,0,0
102652,2011,1,2.5,7.22,0,0,0,1,0,0,0,0
119506,2012,2,2.91,7.59,0,0,1,1,0,0,0,0
875,1999,1,4.18,7.73,0,0,1,0,0,0,0,0
97786,2011,2,2.59,7.27,0,1,1,0,0,0,0,0
478,2000,2,2.05,7.08,0,1,1,0,0,0,0,0
171668,2015,1,1.94,7.2,0,0,0,1,0,0,0,0
15062,2005,1,2.57,7.12,0,0,0,1,0,0,0,0
133848,2013,1,3.11,7.25,0,0,1,0,0,0,0,0
58421,2009,1,2.83,7.42,0,0,1,0,0,0,0,0
191862,2016,1,2.01,7.2,0,1,0,0,0,0,0,0
20437,2010,2,2.36,7.34,0,0,1,1,0,0,0,0
128271,2012,1,2.91,7.43,0,0,1,0,0,0,0,0
43570,2011,1,2.14,7.14,0,0,1,0,0,0,0,0
147949,2014,1,1.39,7.14,0,0,0,0,0,0,1,0
193042,2016,2,1.22,7.43,0,1,0,0,0,0,1,0
36553,2008,1,1.19,7.71,0,0,0,0,0,0,1,0
144189,2014,1,4.06,8.07,1,0,0,0,0,0,0,0
270844,2019,1,2.77,7.61,0,0,1,0,0,0,0,0
221965,2017,1,1.59,7.25,0,1,0,0,0,0,0,0
240196,2018,1,2.83,7.83,0,0,0,1,0,0,0,0
125618,2012,1,2.24,7.16,0,0,1,0,0,0,0,0
233312,2018,1,2.41,7.57,0,0,0,1,0,0,0,0
90419,2011,2,2.44,7.31,0,1,1,0,0,0,0,0
270633,2019,1,2.91,8.75,0,0,1,0,0,0,0,0
42052,2010,1,4.21,7.49,0,0,1,0,0,0,0,0
163968,2015,1,2.76,7.23,0,0,1,0,0,0,0,0
9674,2004,1,1.92,7.12,0,0,0,0,1,0,0,0
21790,2006,2,2.26,7.1,0,1,1,0,0,0,0,0
257501,2018,1,2.46,7.28,0,0,0,0,0,0,0,1
31999,2007,1,2.54,7.66,0,0,0,0,1,0,0,0
192836,2016,1,4.09,7.65,0,0,1,0,0,0,0,0
256730,2019,1,3.85,7.75,0,0,1,0,0,0,0,0
218603,2017,2,2.28,7.13,0,1,0,0,1,0,0,0
